department,strategic_pillar,production,metric,question_id,question_text,response_type,options,required,display_order,kpi_type,ai_weight
School,Classical Training,School-wide,Exemplary Classical Technique,SCH_CT_Q1,Did any students achieve exemplary (90%+) technical scores in the classical ballet training curriculum (internal evaluation)?,yes_no,,TRUE,10,student_achievement,1.2
School,Classical Training,School-wide,Exemplary Contemporary Technique,SCH_CT_Q2,Did any students achieve exemplary (90%+) technical scores in the contemporary dance training curriculum (internal evaluation)?,yes_no,,TRUE,20,student_achievement,1.2
School,Classical Training,School-wide,Artistic Director Masterclasses,SCH_CT_Q3,Did the Artistic Director deliver student master classes to ABS this month?,yes_no,,TRUE,30,leadership_engagement,1
School,Classical Training,School-wide,Graduate Employment,SCH_CT_Q4,Did any graduates receive employment in professional dance companies this month?,yes_no,,TRUE,40,career_outcomes,1.3
School,Classical Training,School-wide,Guest Teachers and Choreographers,SCH_CT_Q5,Did we host guest teachers and choreographers to enrich the School's dance repertoire and techniques this month?,yes_no,,TRUE,50,artistic_enrichment,1.1
School,Attracting Students,School-wide,Promotion at International Performances,SCH_AS_Q1,Did we promote Alberta Ballet School at international company performances this month?,yes_no,,TRUE,10,recruitment_marketing,1.1
School,Attracting Students,School-wide,Regional Scouting by Artistic Director,SCH_AS_Q2,Did we take advantage of the Artistic Director’s presence in each region to identify talented young dancers and recommend them to ABS?,yes_no,,TRUE,20,talent_scouting,1.1
School,Attracting Students,School-wide,Expanded International Scholarships,SCH_AS_Q3,"Did we expand scholarship opportunities for international students, prioritising those identified during tours or through alumni networks?",yes_no,,TRUE,30,scholarships,1.2
School,Attracting Students,School-wide,International Recruitment Events,SCH_AS_Q4,Did we participate in international recruitment events this month?,yes_no,,TRUE,40,recruitment_events,1
School,Attracting Students,School-wide,Showcasing Alumni Success,SCH_AS_Q5,Did we showcase alumni success stories to highlight our success in launching world-class dancers and inspire prospective students?,yes_no,,TRUE,50,alumni_engagement,1.1
School,Attracting Students,School-wide,Affiliate Programme Awareness,SCH_AS_Q6,Did we increase awareness and reputation of the Alberta Ballet School Affiliates programme (Northern and Southern) throughout Alberta?,yes_no,,TRUE,60,provincial_presence,1
School,Attracting Students,School-wide,Leveraging Provincial Tours,SCH_AS_Q7,Did we leverage Alberta Ballet’s provincial tour presence to connect with prospective ABS students through masterclasses and workshops in visited communities?,yes_no,,TRUE,70,provincial_presence,1.2
School,Student Accessibility,School-wide,Scholarships for Marginalised Students,SCH_SA_Q1,Did we offer scholarships and secure external funding to make professional training accessible for marginalised students?,yes_no,,TRUE,10,accessibility,1.3
School,Student Accessibility,School-wide,Scholarships for Alberta Students,SCH_SA_Q2,Did we offer scholarships and secure external funding to make professional training accessible for Alberta students?,yes_no,,TRUE,20,accessibility,1.2
School,Student Accessibility,School-wide,Boy Enrolment,SCH_SA_Q3,Did we increase boy enrolment through targeted campaigns and specialised programmes?,yes_no,,TRUE,30,diversity_enrolment,1.1
School,Student Accessibility,School-wide,Talent Pathways,SCH_SA_Q4,Did we build foundational pathways for talent development through Alberta Ballet targeted programmes?,yes_no,,TRUE,40,talent_pipeline,1.1
