owner,objective_id,plan_anchor,objective_title,short_description
Artistic,ART1,Objective 1: The Art of Dance,Elevate the Art of Dance,Elevate Alberta Ballet globally by fusing classical mastery with contemporary energy to captivate modern audiences and keep the repertoire culturally relevant.
Artistic,ART2,“Amplify the Spectacle and Production Value” (sub-objective),Amplify Spectacle & Production Value,"Transform Alberta Ballet’s productions into visually stunning, immersive experiences while prioritising sustainability, operational efficiency, and workforce collaboration."
Artistic,ART3,“Bold and Provocative Storytelling” (sub-objective),Bold Contemporary Storytelling,"Create compelling contemporary dance productions that resonate with modern audiences by combining current themes, multi-sensory elements, and cross-disciplinary collaborations."
Artistic,ART4,“Learning from the Legends / Masters’ Spotlight” (sub-objective),Contemporary Leadership & Masters’ Spotlight,"Establish Alberta Ballet as a leader in contemporary ballet by collaborating with celebrated choreographers, staging world-class works, and turning productions into multidisciplinary cultural events and tours."
Artistic,ART5,“Elevate Artistic Excellence” within Objective 5: Attracting Talent,Build a World-Class Ballet Company,"Build a world-class ballet company by attracting top-tier dancers, collaborating with renowned choreographers, and partnering with visionary designers to create visually stunning productions and branding."
School,SCH1,“Training for the Classics Today” (sub-objective),Equip Students with Classical & Contemporary Proficiency,"Equip Alberta Ballet School students with the technical proficiency and versatility needed to excel in both classical and contemporary ballet, aligned with the company’s artistic vision."
School,SCH2,“Form strategic partnerships with prestigious ballet and dance brands” (sub-objective),Strategic School Partnerships with Ballet & Dance Brands,"Form strategic partnerships with prestigious ballet and dance brands to reinforce the international prestige of Alberta Ballet and its School through guest teachers, choreographers, and guest artists."
School,SCH3,"Objective 2, “Building Our Global Recruitment Network” (sub-objective)",Leverage Touring & Networks for Recruitment,"Leverage international company tours, the Artistic Director’s network, and Alberta Ballet School alumni to attract talented young dancers, provide accessible training opportunities, and elevate the School’s reputation worldwide."
School,SCH4,“Position Alberta Ballet School as a leader in dance education” (sub-objective),Position Alberta Ballet School as a Leader in Dance Education,"Position Alberta Ballet School as a leader in dance education by showcasing world-class training, its connection to the professional company, and proactive recruitment locally, nationally, and internationally."
School,SCH5,“Enhance Accessibility in Professional Training” (sub-objective),"Recruit and Support a Diverse, Inclusive Student Body","Recruit and support a globally diverse and inclusive student body by providing accessible opportunities, professional development, and targeted initiatives for under-represented groups (including increased male enrolment)."
Community,COM1,Objective 3: Community,Ensure Dance Access Across Alberta,"Ensure people from communities throughout Alberta can experience the power of dance, regardless of geographic or socio-economic status barriers, through classes, tickets, and performances."
Community,COM2,“Increase participation in recreational ballet classes…” (sub-objective),Grow Recreational Participation & Inclusivity,"Increase participation in recreational ballet classes while fostering inclusivity, retention, and clear pathways for talent development."
Community,COM3,“Expand Inclusivity” (sub-objective),Accessible Experiences for Underserved Communities,"Provide accessible ballet experiences to underserved and vulnerable communities, fostering inclusivity, cultural exchange, and geographic reach through free/discounted tickets and culturally inclusive programs."
Community,COM4,“Build lasting connections with recreational ballet students…” (sub-objective),Connect Recreational Students & Families to the Company,"Build lasting connections with recreational students and their families by providing meaningful opportunities to engage with Alberta Ballet productions, dancers, and training programmes, including introductory outreach in underserved neighbourhoods."
Corporate,CORP1,Objective 2: Global Greatness,Global Greatness – International Touring & Presence,"Tour the world and captivate audiences by showcasing Alberta Ballet on prestigious stages abroad, elevating global brand recognition and diversifying revenue streams."
Corporate,CORP2,"“Tailor performances, media campaigns, and relationships…” (sub-objective)",Region-Specific Touring & Market Strategy,"Tailor repertoire, media campaigns, and key relationships to each region’s cultural preferences (Europe, Middle East, South America) to enhance international reputation and build sustainable touring opportunities."
Corporate,CORP3,"“Build collaborations with luxury brands, Middle Eastern influencers…” (sub-objective)","Luxury, Influencer & Innovation Partnerships","Build collaborations with luxury brands, Middle Eastern influencers, and technology innovators to expand Alberta Ballet’s reach, engage elite audiences, and secure sustainable funding."
Corporate,CORP4,“A Joint Campus / Centralize operations…” (sub-objective),Centralised Calgary Campus,"Centralise operations in a modern, versatile Calgary facility to foster collaboration, improve efficiency, increase programme capacity, enhance community engagement, and support revenue generation, backed by a comprehensive fundraising strategy."
Corporate,CORP5,Objective 4: Brand Amplification,Brand Amplification – Alberta Cultural Cornerstone,"Position Alberta Ballet as a cultural cornerstone and symbol of Alberta pride while expanding its reputation far beyond provincial borders through storytelling, partnerships, and high-profile activity."
Corporate,CORP6,"“Rebuild our loyal audience base to 100,000 tickets each year…” (sub-objective)","Rebuild Loyal Audience Base to 100,000 Tickets per Year","Rebuild Alberta Ballet’s loyal audience base to 100,000 tickets annually by creating immersive, emotionally resonant experiences and using targeted, experiential, and thematic marketing to deepen long-term commitment."
Corporate,CORP7,"“Build user-friendly, visually compelling, and purpose-driven websites…” (sub-objective)",Digital Experience – Websites,"Build user-friendly, visually compelling, purpose-driven websites for Alberta Ballet’s Company, School, and Community initiatives to drive engagement, ticket sales, and funding opportunities."
Corporate,CORP8,“Leverage social media and digital platforms…” (sub-objective),Digital Experience – Social & Content,"Leverage social media and digital platforms to highlight performances, training programmes, and community initiatives, connecting with local and international audiences and strengthening Alberta Ballet’s brand."
Corporate,CORP9,People & Culture & Organisational Health,"People & Culture ‚Äì Safe, Inclusive, High-Performing Workplace","Create a safe, inclusive, and high-performing workplace by investing in leadership capability, staff wellbeing, diversity and inclusion, and consistent people policies across the organisation."
Corporate,CORP10,"High-Performing, Strategically Aligned Board",Board Excellence & Strategic Governance,"Develop and sustain a high-performing, strategically aligned Board of Directors through disciplined recruitment and onboarding, ongoing education, diversity of perspectives, and regular evaluation of board effectiveness."
Corporate,CORP11,Continuous Improvement & Organisational Insight,Organisational Insight & Feedback Loops,"Embed regular employee, student, and parent feedback loops to inform leadership decisions, strengthen organisational culture, and continuously improve programmes and services."
